City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,thunder bay,48.4001,-89.3168,2.99,93,100,2.57,CA,1744983963
109,keflavik,64.0049,-22.5624,6.24,49,0,4.63,IS,1744984201
110,maxixe,-23.8597,35.3472,25.9,61,40,2.24,MZ,1744984201
111,chipinge,-20.1883,32.6236,17.73,73,100,3.05,ZW,1744984201
112,isafjordur,66.0755,-23.124,1.37,74,9,1.31,IS,1744984201
113,arraial do cabo,-22.9661,-42.0278,26.98,74,40,4.12,BR,1744984202
114,kingman,35.1894,-114.053,8.4,45,0,1.54,US,1744984202
115,mount gambier,-37.8333,140.7667,13.4,91,100,2.25,AU,1744984202
116,ribeira grande,38.5167,-28.7,18.22,68,40,8.23,PT,1744984202
117,tra vinh,9.9347,106.3453,28.04,78,100,2.25,VN,1744984202
118,horta,38.5333,-28.6333,17.8,85,40,8.23,PT,1744984202
119,frankfort,-27.2667,28.4833,15.66,62,100,1.47,ZA,1744984202
120,rwamagana,-1.9487,30.4347,21.95,71,98,0.64,RW,1744984203
121,klyuchi,52.2667,79.1667,0.65,63,75,4.96,RU,1744984203
122,west island,-12.1568,96.8225,26.99,89,75,8.75,CC,1744984203
123,margaret river,-33.95,115.0667,13.91,71,66,3.64,AU,1744984203
124,stephenville,32.2207,-98.2023,22.3,73,0,4.12,US,1744984203
125,sinan,34.8262,126.1086,11.47,100,100,4.68,KR,1744984203
126,chilliwack,49.1747,-121.9443,7.23,81,53,0.51,CA,1744984203
127,jinchang,38.4953,102.1739,13.71,15,7,2.91,CN,1744984203
128,aasiaat,68.7098,-52.8699,-4.05,74,100,0.86,GL,1744984204
129,ballina,-28.8667,153.5667,18.02,86,4,2.74,AU,1744984204
130,hailey,43.5196,-114.3153,-0.67,37,0,8.49,US,1744984204
131,port mathurin,-19.6833,63.4167,27.29,78,13,8.34,MU,1744984204
132,dali,25.7,100.1833,16.05,59,34,2.96,CN,1744984204
133,utrik,11.2278,169.8474,26.9,74,83,8.38,MH,1744984204
134,williams lake,52.1415,-122.1445,1.76,64,20,0.0,CA,1744984204
135,north branch,45.5113,-92.9802,7.29,94,100,6.71,US,1744984204
136,tezpur,26.6333,92.8,25.45,59,89,2.49,IN,1744984205
137,hohoe,7.1518,0.4736,36.52,40,80,1.23,GH,1744984205
138,lebanon,36.2081,-86.2911,21.36,56,0,6.17,US,1744984013
139,vila velha,-20.3297,-40.2925,26.97,74,75,3.09,BR,1744984147
140,katabu,-4.9333,122.5167,24.22,93,99,0.53,ID,1744984205
141,georgetown,5.4112,100.3354,29.97,78,20,4.12,MY,1744983872
142,cannonvale,-20.2833,148.7,24.66,71,40,2.49,AU,1744984205
143,petauke,-14.2426,31.3253,22.26,83,83,2.81,ZM,1744984205
144,whitehorse,60.7161,-135.0538,2.43,46,20,5.14,CA,1744983944
145,plastun,44.7561,136.2939,4.04,94,100,2.61,RU,1744984206
146,iqaluit,63.7506,-68.5145,-3.15,68,100,7.2,CA,1744984206
147,hami,42.8,93.45,18.5,21,100,2.48,CN,1744984206
148,ternate,0.8,127.4,27.07,81,34,2.48,ID,1744984206
149,rabaul,-4.1967,152.1721,27.12,78,100,2.25,PG,1744984206
150,launceston,-41.45,147.1667,15.8,94,100,3.6,AU,1744984147
151,pierre,44.3683,-100.351,4.92,67,75,6.17,US,1744984207
152,manadhoo,5.7667,73.3833,29.05,73,6,4.3,MV,1744984207
153,zaozersk,69.4005,32.4476,3.92,96,100,4.9,RU,1744984207
154,iskateley,67.6803,53.1512,-0.84,96,100,4.91,RU,1744984207
155,mariehamn,60.0973,19.9348,8.92,87,40,1.03,AX,1744984207
156,shiraz,29.6036,52.5388,23.69,10,0,7.2,IR,1744984207
157,codrington,-38.2667,141.9667,16.01,84,100,1.42,AU,1744984208
158,nha trang,12.25,109.1833,28.0,82,4,1.98,VN,1744984208
159,lhokseumawe,5.1801,97.1507,26.78,86,48,2.0,ID,1744984208
160,isabela,6.7085,121.9711,27.03,83,79,1.13,PH,1744984208
161,severo-yeniseyskiy,60.3725,93.0408,-8.7,86,99,4.14,RU,1744984208
162,as sulayyil,20.4607,45.5779,35.33,11,0,6.05,SA,1744984208
163,lenbe,19.7,-72.4,24.78,82,94,3.74,HT,1744984208
164,pacific grove,36.6177,-121.9166,12.06,87,100,3.6,US,1744984208
165,duong dong,10.2167,103.9667,27.0,89,40,2.57,VN,1744984209
166,mikuni,36.2171,136.1519,16.39,87,84,1.51,JP,1744984209
167,hadibu,12.65,54.0333,28.58,54,0,1.41,YE,1744984209
168,jaisalmer,26.9147,70.9181,36.81,10,0,12.2,IN,1744984209
169,belyy yar,53.6039,91.3903,1.94,35,0,6.0,RU,1744984209
170,lihue,21.9789,-159.3672,22.77,88,75,5.14,US,1744984209
171,port maria,18.3685,-76.8895,27.99,68,80,7.24,JM,1744984209
172,puerto ayora,-0.7393,-90.3518,25.31,100,91,0.45,EC,1744984209
173,huilong,31.8111,121.655,18.28,95,85,9.04,CN,1744984049
174,barabai,-2.5833,115.3833,23.87,92,43,0.68,ID,1744984210
175,brookings,44.3114,-96.7984,5.66,63,100,7.72,US,1744984210
176,alnashi,56.1874,52.4792,17.32,59,61,4.62,RU,1744984210
177,san patricio,28.017,-97.5169,23.97,82,76,8.85,US,1744984210
178,coronel dorrego,-38.7187,-61.2873,13.34,63,0,8.66,AR,1744984210
179,gadzhiyevo,69.2551,33.3362,4.1,94,100,4.75,RU,1744984210
180,boende,-0.2167,20.8667,28.27,67,95,0.51,CD,1744984210
181,linxia chengguanzhen,35.6003,103.2064,12.5,41,0,1.47,CN,1744984211
182,novi pazar,43.1367,20.5122,18.05,49,100,2.73,RS,1744984211
183,mount pearl,47.5166,-52.7813,9.19,64,20,6.69,CA,1744984211
184,morehead city,34.7229,-76.726,22.79,67,0,3.13,US,1744983922
